lag,RMSE,MAE,MAPE,n_train,n_test
0,231.99382640508358,162.01450345186217,1.0200959325393633,2260,592
1,230.39322699671078,162.9198152355656,1.0272394867509067,2259,592
2,229.9400965623277,164.62357476093865,1.037875246580951,2258,592
3,228.27842473218962,160.19958519629364,1.0099985524957877,2257,592
4,227.71724625523927,160.07787228319864,1.0075676038680872,2256,592
5,226.15184180185176,157.6544317090862,0.9939924642655548,2255,592
6,228.98303111268686,159.0835987993268,1.0031865745053472,2254,592
7,233.370933352293,163.67544207258734,1.0302100972970276,2253,592
8,230.14698029331046,162.03657540722736,1.0186563521192278,2252,592
10,228.29126688740104,159.43051848305993,1.0036076383021788,2250,592
